,A,B,C,D,E,F
0,10.031830861934163,3.394398422428807,-2.0,-3.3356017064197516,0.14745711510230375,-2.019281643089594
1,2.1326338619102465,1.012615391566047,-2.0,-1.3149841007957663,-1.0572471649736066,-0.9761033370384441
2,-0.4028022453408218,3.0593482150386797,-2.0,-0.8485346299546146,-1.7192497656354506,-0.11030130315578232
3,5.731949846118824,2.530066534608436,-2.0,-2.5839729250397045,0.950381556790173,-2.818345624967998
4,-0.06770399048292225,3.169088518117913,-2.0,1.0286454459550374,-0.7059071596023943,-1.091874947429273
5,56.548247124679854,5.116658919250138,-2.0,-7.5020725737377,-2.0555399625038797,0.29794407013788804
6,0.23052802939081324,1.3103079387782974,-2.0,0.3149110451028102,0.07218204493926939,-1.9354917862023029
7,1.2635404216018435,3.7730775161722696,-2.0,1.4821894858241826,-2.5712897025433694,0.322133058219181
8,0.2907881432044907,1.2327541821355088,-2.0,0.29213164453242957,-1.8484452604179609,-0.0132138565461756
9,0.584302603419365,1.4681213780269138,-2.0,-0.7797444410748611,-2.624116687339574,0.24403386606185934
10,3.701557473260711,0.8367569866765,-2.0,1.7770415598470486,-1.9944874931631014,0.38732917226181646
11,72.93751560287696,0.023314799176022485,-2.0,-8.489050642558983,-2.484897613314485,0.579685545791396
12,-0.20390092261564557,1.8487206008448487,-2.0,0.44345538191056466,-0.8693417266962223,-1.363127551119083
13,16.73492963910194,2.4558045354093885,-2.0,-4.199409869978226,-0.4247160032956526,-1.7274450260736645
14,0.45381529974956997,2.0436776272217116,-2.0,1.0175765372656222,-1.365382629733066,-0.09777039640826846
15,2.751792339121491,0.13498217501323834,-2.0,1.3737110469232834,-2.2273917806552297,0.04130711354842284
16,-1.073061027532042,3.235980796010279,-2.0,-0.2206380506431027,-2.2033897564474403,0.25088142707819444
17,0.9601203512706913,5.862827446862422,-2.0,0.41637822006254543,-2.3739543237294103,0.6293371490755333
18,22.667043882736255,0.017445373350591858,-2.0,-4.668339049473364,2.403377272213611,-4.471999934765432
19,2.0447437733085176,1.761191883759947,-2.0,-1.5362892056999158,0.3029697698178533,-2.319882266127489
20,4.124442305679842,11.955845737507763,-2.0,-1.8523737519812933,-1.2424084430236348,-0.6065206213174317
21,0.477986839087231,20.70923417099309,-2.0,0.9429002738108482,-1.0486708094753046,-0.6893946135180269
22,1.4628869791117463,0.017618755935433012,-2.0,-0.7676168424496157,-1.7535106357178853,-0.28956507898366235
23,6.55622162383142,0.1539520755949312,-2.0,2.3862611525854596,-2.306978062164741,-0.053504528820960906
24,3.259911371492338,0.03573184831275905,-2.0,-1.544908773196764,-0.3882658663438415,-1.3101595554830516
25,14.537464763320843,5.4870680305903585,-2.0,-3.736866528085785,1.8294537821139403,-3.870371591853348
26,54.054085086005436,3.3790514345425873,-2.0,-7.426453891982073,-1.6773843076608332,-0.4515486534767984
